id,name,slug,description,date,month,year,images,content,seo_title,seo_description,is_active,created_at,updated_at
90000001-0001-4000-8000-000000000001,Makar Sankranti,makar-sankranti-2026,"The harvest festival marking the sun's transition into Capricorn. Celebrated with kite flying and holy dips.",2026-01-14,January,2026,"[""/logo.png""]","{""rituals"": [""Kite flying"", ""Holy bath in sacred rivers"", ""Til-gul sweets exchange""], ""significance"": ""Marks the end of winter solstice and start of longer days"", ""regional_names"": {""Punjab"": ""Lohri"", ""Tamil Nadu"": ""Pongal"", ""Maharashtra"": ""Makar Sankranti""}}","Makar Sankranti 2026 - Kite Festival & Traditions","Celebrate Makar Sankranti 2026 on January 14. Discover kite flying traditions, holy bath rituals, and regional harvest customs.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000002-0002-4000-8000-000000000002,Basant Panchami,basant-panchami-2026,"Festival dedicated to Goddess Saraswati, marking the arrival of spring.",2026-01-23,January,2026,"[""/logo.png""]","{""rituals"": [""Saraswati Puja"", ""Wearing yellow clothes"", ""Initiation of learning for children""], ""significance"": ""Worship of the goddess of knowledge, arts, and music"", ""best_celebrations"": [""Varanasi"", ""Kolkata"", ""North India""]}","Basant Panchami 2026 - Saraswati Puja Date & Vidhi","Basant Panchami 2026 on January 23. Worship Goddess Saraswati and celebrate the Vasant season with traditional rituals.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000003-0003-4000-8000-000000000003,Maha Shivaratri,maha-shivaratri-2026,"The great night of Lord Shiva, observed with fasting and night-long vigil.",2026-02-15,February,2026,"[""/logo.png""]","{""rituals"": [""All-night vigil (Jagran)"", ""Abhishekam with milk and water"", ""Offering Bel leaves"", ""Fasting""], ""significance"": ""Marriage of Shiva and Shakti and the night of cosmic dance"", ""best_temples"": [""Kashi Vishwanath"", ""Mahakaleshwar"", ""Somnath""]}","Maha Shivaratri 2026 - Shiva Puja timings & Vrat","Maha Shivaratri 2026 on February 15. Learn about the rituals, fasting rules, and the spiritual significance of Shiva's great night.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000004-0004-4000-8000-000000000004,Holi,holi-2026,The vibrant festival of colors celebrating the victory of Prahlad over Holika.,2026-03-04,March,2026,"[""/logo.png""]","{""rituals"": [""Holika Dahan bonfire (March 3)"", ""Playing with colors (March 4)"", ""Traditional sweets (Gujiya)""], ""significance"": ""Victory of good over evil and the arrival of spring"", ""best_celebrations"": [""Mathura"", ""Vrindavan"", ""Jaipur""]}","Holi 2026 - Festival of Colors Date & Rituals","Holi 2026 on March 4. Celebrate the victory of good over evil with colors, Holika Dahan, and traditional Indian sweets.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000005-0005-4000-8000-000000000005,Gudi Padwa,gudi-padwa-2026,"The Marathi New Year, marking the start of the Chaitra month.",2026-03-19,March,2026,"[""/logo.png""]","{""rituals"": [""Hoisting the Gudi flag"", ""Purampoli preparation"", ""Rangoli decorations""], ""significance"": ""Victory of King Shalivahana and the start of the Hindu New Year"", ""best_celebrations"": [""Maharashtra"", ""Konkan""]}","Gudi Padwa 2026 - Marathi New Year & Traditions","Gudi Padwa 2026 on March 19. celebrate the Marathi New Year with traditional Gudi hoisting and festive rituals.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000006-0006-4000-8000-000000000006,Rama Navami,rama-navami-2026,"Birthday of Lord Rama, the seventh avatar of Lord Vishnu.",2026-03-27,March,2026,"[""/logo.png""]","{""rituals"": [""Ramatana recitation"", ""Special bhajans"", ""Ratharaya (processions)""], ""significance"": ""Birth of Maryada Purushottam Rama in Ayodhya"", ""best_places"": [""Ayodhya"", ""Rameswaram"", ""Bhadrachalam""]}","Rama Navami 2026 - Lord Rama Birthday & Puja","Rama Navami 2026 on March 27. Celebrate the birth of Lord Rama with devotional songs, fasting, and temple visits.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000007-0007-4000-8000-000000000007,Hanuman Jayanti,hanuman-jayanti-2026,"Birthday of Lord Hanuman, the symbol of strength and devotion.",2026-04-01,April,2026,"[""/logo.png""]","{""rituals"": [""Hanuman Chalisa recitation"", ""Applying Sindoor"", ""Offering Boondi Laddoo""], ""significance"": ""Birth of the vanara god Hanuman to Anjana and Kesari"", ""best_temples"": [""Sankat Mochan"", ""Hanuman Garhi""]}","Hanuman Jayanti 2026 - Date & Hanuman Chalisa vidhi","Hanuman Jayanti 2026 on April 1. Worship Lord Hanuman for strength and protection with special pujas and mantras.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000008-0008-4000-8000-000000000008,Akshaya Tritiya,akshaya-tritiya-2026,"An auspicious day for new beginnings and investments, especially gold.",2026-04-19,April,2026,"[""/logo.png""]","{""rituals"": [""Buying gold or silver"", ""Starting new ventures"", ""Daan (charity)""], ""significance"": ""The day is believed to bring eternal prosperity and success"", ""best_places"": [""Badrinath"", ""Puri""]}","Akshaya Tritiya 2026 - Auspicious Muhurat for Gold","Akshaya Tritiya 2026 on April 19. find the most lucky timings for buying gold and starting new businesses.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000009-0009-4000-8000-000000000009,Guru Purnima,guru-purnima-2026,"Day dedicated to spiritual and academic teachers (Gurus).",2026-07-29,July,2026,"[""/logo.png""]","{""rituals"": [""Guru Puja"", ""Satsangs"", ""Offerings to teachers""], ""significance"": ""Birthday of Ved Vyasa and appreciation for the removal of ignorance"", ""best_places"": [""Rishikesh"", ""Varanasi""]}","Guru Purnima 2026 - Date & Significance of Guru","Guru Purnima 2026 on July 29. Honor your spiritual and secular teachers on this sacred full moon day.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000010-0010-4000-8000-000000000010,Raksha Bandhan,raksha-bandhan-2026,"Celebrating the sacred bond of protection between brothers and sisters.",2026-08-28,August,2026,"[""/logo.png""]","{""rituals"": [""Tying Rakhi"", ""Gift exchange"", ""Family feast""], ""significance"": ""Brother''s promise to protect the sister and sister''s prayers for him""}","Raksha Bandhan 2026 - Rakhi Muhurat & Traditions","Raksha Bandhan 2026 on August 28. Celebrate the love between siblings with rakhi tying and traditional rituals.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
